depth,latitude,longitude,time,thetao
0.494025,20,107,17/09/2008,29.97171
0.494025,20,107,18/09/2008,29.938017
0.494025,20,107,19/09/2008,29.86111
0.494025,20,107,20/09/2008,29.920437
0.494025,20,107,21/09/2008,29.998077
0.494025,20,107,22/09/2008,30.129917
0.494025,20,107,23/09/2008,30.08817
0.494025,20,107,24/09/2008,29.850857
0.494025,20,107,25/09/2008,29.560808
0.494025,20,107,26/09/2008,29.455338
0.494025,20,107,27/09/2008,29.393078
0.494025,20,107,28/09/2008,29.237068
0.494025,20,107,29/09/2008,28.953611
0.494025,20,107,30/09/2008,28.534653
0.494025,20,107,1/10/2008,28.50975
0.494025,20,107,2/10/2008,28.648914
0.494025,20,107,3/10/2008,28.752922
0.494025,20,107,4/10/2008,28.708242
0.494025,20,107,5/10/2008,28.642323
0.494025,20,107,6/10/2008,28.531723
0.494025,20,107,7/10/2008,28.511215
0.494025,20,107,8/10/2008,28.502426
0.494025,20,107,9/10/2008,28.450422
0.494025,20,107,10/10/2008,28.40501
0.494025,20,107,11/10/2008,28.374249
0.494025,20,107,12/10/2008,28.276833
0.494025,20,107,13/10/2008,28.080538
0.494025,20,107,14/10/2008,27.912075
0.494025,20,107,15/10/2008,27.80514
0.494025,20,107,16/10/2008,27.701864
0.494025,20,107,17/10/2008,27.671103
0.494025,20,107,18/10/2008,27.62276
0.494025,20,107,19/10/2008,27.597858
0.494025,20,107,20/10/2008,27.656452
0.494025,20,107,21/10/2008,27.778038
0.494025,20,107,22/10/2008,27.935514
0.494025,20,107,23/10/2008,27.909145
0.494025,20,107,24/10/2008,27.80514
0.494025,20,107,25/10/2008,27.84103
0.494025,20,107,26/10/2008,27.911343
0.494025,20,107,27/10/2008,27.901821
0.494025,20,107,28/10/2008,27.896694
0.494025,20,107,29/10/2008,27.906948
0.494025,20,107,30/10/2008,27.891567
0.494025,20,107,31/10/2008,27.894497
0.494025,20,107,1/11/2008,27.904018
0.494025,20,107,2/11/2008,27.940641
0.494025,20,107,3/11/2008,27.855679
0.494025,20,107,4/11/2008,27.810999
0.494025,20,107,5/11/2008,27.867397
0.494025,20,107,6/11/2008,27.93112
0.494025,20,107,7/11/2008,27.914272
0.494025,20,107,8/11/2008,27.663776
0.494025,20,107,9/11/2008,27.328318
0.494025,20,107,10/11/2008,26.96283
0.494025,20,107,11/11/2008,26.680105
0.494025,20,107,12/11/2008,26.491867
0.494025,20,107,13/11/2008,26.365887
0.494025,20,107,14/11/2008,26.294107
0.494025,20,107,15/11/2008,26.296305
0.494025,20,107,16/11/2008,26.33952
0.494025,20,107,17/11/2008,26.375408
0.494025,20,107,18/11/2008,26.273598
0.494025,20,107,19/11/2008,26.009186
0.494025,20,107,20/11/2008,25.71328
0.494025,20,107,21/11/2008,25.577044
0.494025,20,107,22/11/2008,25.528702
0.494025,20,107,23/11/2008,25.451063
0.494025,20,107,24/11/2008,25.256966
0.494025,20,107,25/11/2008,25.067263
0.494025,20,107,26/11/2008,24.885616
0.494025,20,107,27/11/2008,24.625599
0.494025,20,107,28/11/2008,24.331156
0.494025,20,107,29/11/2008,24.105564
0.494025,20,107,30/11/2008,23.956877
0.494025,20,107,1/12/2008,23.900478
0.494025,20,107,2/12/2008,23.90707
0.494025,20,107,3/12/2008,24.035982
0.494025,20,107,4/12/2008,23.94882
0.494025,20,107,5/12/2008,23.734215
0.494025,20,107,6/12/2008,23.438307
0.494025,20,107,7/12/2008,23.206121
0.494025,20,107,8/12/2008,23.042788
0.494025,20,107,9/12/2008,22.946104
0.494025,20,107,10/12/2008,22.964415
0.494025,20,107,11/12/2008,22.949034
0.494025,20,107,12/12/2008,23.078676
0.494025,20,107,13/12/2008,23.01056
0.494025,20,107,14/12/2008,22.946836
0.494025,20,107,15/12/2008,22.853817
0.494025,20,107,16/12/2008,22.81573
0.494025,20,107,17/12/2008,22.83697
0.494025,20,107,18/12/2008,22.889706
0.494025,20,107,19/12/2008,22.927061
0.494025,20,107,20/12/2008,23.032532
0.494025,20,107,21/12/2008,23.15192
0.494025,20,107,22/12/2008,23.138004
0.494025,20,107,23/12/2008,22.967346
0.494025,20,107,24/12/2008,22.784235
0.494025,20,107,25/12/2008,22.628223
0.494025,20,107,26/12/2008,22.538866
0.494025,20,107,27/12/2008,22.448042
0.494025,20,107,28/12/2008,22.387249
0.494025,20,107,29/12/2008,22.319864
0.494025,20,107,30/12/2008,22.169714
0.494025,20,107,31/12/2008,21.88113
0.494025,20,107,1/01/2009,21.58156
0.494025,20,107,2/01/2009,21.35011
0.494025,20,107,3/01/2009,21.234383
0.494025,20,107,4/01/2009,21.25489
0.494025,20,107,5/01/2009,21.30543
0.494025,20,107,6/01/2009,21.35963
0.494025,20,107,7/01/2009,21.33253
0.494025,20,107,8/01/2009,21.23072
0.494025,20,107,9/01/2009,20.943602
0.494025,20,107,10/01/2009,20.519516
0.494025,20,107,11/01/2009,20.244118
0.494025,20,107,12/01/2009,20.077852
0.494025,20,107,13/01/2009,19.904263
0.494025,20,107,14/01/2009,19.824427
0.494025,20,107,15/01/2009,19.811975
0.494025,20,107,16/01/2009,19.853725
0.494025,20,107,17/01/2009,19.946745
0.494025,20,107,18/01/2009,20.102024
0.494025,20,107,19/01/2009,20.378155
0.494025,20,107,20/01/2009,20.44847
0.494025,20,107,21/01/2009,20.386211
0.494025,20,107,22/01/2009,20.329813
0.494025,20,107,23/01/2009,20.288797
0.494025,20,107,24/01/2009,20.16355
0.494025,20,107,25/01/2009,20.10056
0.494025,20,107,26/01/2009,19.92404
0.494025,20,107,27/01/2009,19.740929
0.494025,20,107,28/01/2009,19.721153
0.494025,20,107,29/01/2009,19.61568
0.494025,20,107,30/01/2009,19.571733
0.494025,20,107,31/01/2009,19.589312
0.494025,20,107,1/02/2009,19.590044
0.494025,20,107,2/02/2009,19.6545
0.494025,20,107,3/02/2009,19.652302
0.494025,20,107,4/02/2009,19.68453
0.494025,20,107,5/02/2009,19.64571
0.494025,20,107,6/02/2009,19.664022
0.494025,20,107,7/02/2009,19.729942
0.494025,20,107,8/02/2009,19.82516
0.494025,20,107,9/02/2009,19.874233
0.494025,20,107,10/02/2009,20.025848
0.494025,20,107,11/02/2009,20.330545
0.494025,20,107,12/02/2009,20.201635
0.494025,20,107,13/02/2009,20.28367
0.494025,20,107,14/02/2009,20.524643
0.494025,20,107,15/02/2009,20.686514
0.494025,20,107,16/02/2009,21.051271
0.494025,20,107,17/02/2009,21.31495
0.494025,20,107,18/02/2009,21.605732
0.494025,20,107,19/02/2009,21.81521
0.494025,20,107,20/02/2009,21.4944
0.494025,20,107,21/02/2009,21.487076
0.494025,20,107,22/02/2009,21.52443
0.494025,20,107,23/02/2009,21.66799
0.494025,20,107,24/02/2009,21.706808
0.494025,20,107,25/02/2009,21.83352
0.494025,20,107,26/02/2009,21.98587
0.494025,20,107,27/02/2009,22.164587
0.494025,20,107,28/02/2009,22.139683
